,DATE,TEMP,DEWP,VISIB,WDSP,MAXTEMP,MINTEMP,PREC,SNF
307,2010-12-13,58.0,11.2,10.0,8.7,66,33,0.00,0.0
308,2010-12-14,49.1,15.0,10.0,3.6,63,36,0.00,0.0
309,2010-12-15,46.1,15.0,10.0,4.4,58,34,0.02,0.0
310,2010-12-16,30.1,19.6,10.0,4.0,38,19,0.00,0.0
311,2010-12-17,26.1,17.8,6.0,1.4,32,20,0.04,1.1
312,2010-12-18,23.6,16.2,10.0,0.9,37,13,0.00,0.0
313,2010-12-19,31.8,18.2,10.0,1.5,55,21,0.00,0.0
314,2010-12-20,41.8,25.7,10.0,3.7,59,34,T,0.0
315,2010-12-21,34.2,16.6,10.0,3.1,44,25,0.00,0.0
316,2010-12-22,31.3,22.6,10.0,1.0,41,19,0.00,0.0
317,2010-12-23,29.5,22.5,6.7,0.5,50,19,T,0.0
318,2010-12-24,36.6,25.5,9.2,2.2,46,25,0.00,0.0
319,2010-12-25,33.4,17.3,10.0,1.4,53,20,0.00,0.0
320,2010-12-26,34.2,12.8,10.0,2.1,52,22,0.00,0.0
321,2010-12-27,34.3,15.2,10.0,2.5,46,24,0.00,0.0
322,2010-12-28,34.2,10.9,10.0,2.3,49,23,0.00,0.0
323,2010-12-29,34.2,10.3,10.0,4.0,54,27,0.00,0.0
324,2010-12-30,32.4,16.8,7.5,5.5,45,13,0.28,6.2
325,2010-12-31,8.1,3.7,3.9,4.3,13,2,0.13,2.2
326,2011-01-01,13.4,-6.6,10.0,5.9,25,1,0.00,0.0
327,2011-01-02,21.6,-3.4,9.5,8.4,47,1,0.00,0.0
328,2011-01-03,27.3,8.4,10.0,5.1,36,16,0.00,0.0
329,2011-01-04,21.6,12.5,10.0,1.8,44,10,0.00,0.0
330,2011-01-05,35.4,9.6,10.0,9.7,49,31,0.00,0.0
331,2011-01-06,43.0,12.4,10.0,11.5,54,34,0.00,0.0
332,2011-01-07,43.8,19.9,10.0,7.2,50,32,0.00,0.0
333,2011-01-08,32.4,25.5,9.5,1.5,49,23,0.00,0.0
334,2011-01-09,30.0,25.6,5.3,3.1,38,21,0.30,3.7
335,2011-01-10,13.5,7.0,5.5,3.2,21,-4,0.24,7.4
336,2011-01-11,10.2,-1.1,10.0,3.3,17,-0,0.00,0.0
337,2011-01-12,17.4,4.8,10.0,1.6,28,-3,0.00,0.0
338,2011-01-13,34.8,17.1,10.0,5.3,55,18,0.00,0.0
339,2011-01-14,39.4,23.2,10.0,2.5,57,31,0.00,0.0
340,2011-01-15,38.2,20.5,10.0,4.1,51,32,0.00,0.0
341,2011-01-16,37.4,20.6,10.0,3.2,54,29,0.00,0.0
342,2011-01-17,51.4,25.4,10.0,12.6,55,41,0.01,0.0
343,2011-01-18,42.6,17.8,10.0,7.6,51,31,0.00,0.0
344,2011-01-19,33.0,19.3,9.2,4.4,48,20,0.27,4.9
345,2011-01-20,20.0,13.4,9.0,2.1,33,8,0.01,0.2
346,2011-01-21,37.9,11.1,9.4,9.7,46,24,0.00,0.0
347,2011-01-22,39.3,11.8,10.0,10.6,46,32,T,T
348,2011-01-23,32.7,8.1,10.0,3.8,49,17,0.00,0.0
349,2011-01-24,35.6,6.5,10.0,5.4,40,28,0.00,0.0
350,2011-01-25,28.6,3.8,10.0,1.5,43,17,0.00,0.0
351,2011-01-26,36.0,18.4,10.0,2.1,47,27,T,T
352,2011-01-27,44.6,7.9,10.0,5.2,58,37,0.00,0.0
353,2011-01-28,51.8,14.2,10.0,8.8,68,33,0.00,0.0
354,2011-01-29,45.2,17.2,10.0,3.7,61,34,0.00,0.0
355,2011-01-30,33.9,22.6,10.0,1.8,43,25,0.00,0.0
356,2011-01-31,23.0,18.4,5.4,4.4,33,7,0.13,2.0
357,2011-02-01,-0.5,-8.1,5.1,3.3,8,-10,0.06,0.9
358,2011-02-02,-4.5,-16.5,10.0,2.1,10,-17,T,T
359,2011-02-03,11.3,1.9,8.9,1.5,34,-5,0.03,0.3
360,2011-02-04,30.2,22.1,9.4,2.2,44,18,T,T
361,2011-02-05,37.8,22.7,9.2,5.6,42,31,0.11,1.4
362,2011-02-06,28.9,22.8,7.1,2.4,32,17,0.41,4.9
363,2011-02-07,19.7,10.3,10.0,3.3,43,6,0.00,0.0
364,2011-02-08,14.1,5.9,6.1,7.1,40,3,0.32,4.1
365,2011-02-09,7.0,-4.7,9.4,2.9,22,-7,T,0.1
366,2011-02-10,14.5,0.3,10.0,2.5,38,3,0.00,0.0
367,2011-02-11,21.7,5.4,10.0,2.3,45,10,0.00,0.0
368,2011-02-12,38.9,11.0,10.0,6.3,56,27,0.00,0.0
369,2011-02-13,51.9,5.6,10.0,7.6,65,41,0.00,0.0
370,2011-02-14,41.8,14.3,10.0,2.4,58,26,0.00,0.0
