DATE,DEWP,VISIB,WDSP,MAXTEMP,MINTEMP,PREC,SNF
16-02-2001,21.1,3.6,6.5,27,18,0,0
17-02-2001,24.1,2,3.7,48,20,0,0
18-02-2001,25.3,5.7,6.6,52,25,0,0
19-02-2001,26.4,9.9,6.6,49,32,0,0
20-02-2001,27.9,9.1,7.6,47,27,0.01,0
21-02-2001,28.3,2.5,2.3,48,27,0,0
22-02-2001,26.6,9.9,7.6,54,29,0,0
23-02-2001,29,6.3,8.8,38,28,0,0
24-02-2001,30.4,3.7,6.8,37,26,0,0
25-02-2001,18.4,9.9,7.2,52,24,0,0
26-02-2001,22.4,9.9,9.6,40,23,0,0
27-02-2001,17.4,3.4,8.9,23,13,0.07,0
28-02-2001,14.4,8.5,4.4,33,17,0,0
01-03-2001,22.5,8.8,5.9,52,30,0,0
02-03-2001,19.8,9.9,7.2,50,24,0,0
03-03-2001,21.9,9.8,7,48,27,0,0
04-03-2001,21.4,9.9,5.5,51,25,0,0
05-03-2001,21.1,9.9,6.9,61,28,0,0
06-03-2001,25.5,9.9,8.5,56,36,0,0
07-03-2001,29.7,9.9,6.3,58,35,0,0
08-03-2001,29,9.7,7.3,58,31,0,0
09-03-2001,24.9,9.9,8.2,63,36,0,0
10-03-2001,28.7,6.9,10.4,45,26,0.39,0
11-03-2001,23.8,2.1,7.1,29,21,0.1,0
12-03-2001,19.5,9.2,7,49,16,0,0
13-03-2001,24.1,9.9,9.8,53,28,0,0
14-03-2001,21.8,9.9,10.2,53,31,0,0
15-03-2001,17.3,10,17.2,40,20,0,0
16-03-2001,19.1,9.5,7.5,46,19,0,0
17-03-2001,23,8.7,10.1,37,27,0.04,0
18-03-2001,23.3,9,10.9,49,22,0,0
19-03-2001,20.8,10,9,60,29,0,0
20-03-2001,25.2,9.9,8.4,67,32,0,0
21-03-2001,32.6,10,8,67,36,0,0
22-03-2001,35.8,8.7,7.2,62,34,0.02,0
23-03-2001,34.8,9.9,10.8,61,31,0,0
24-03-2001,29.9,6.1,10.9,40,30,0,0
25-03-2001,28.2,6.1,5.8,35,29,0.32,0
26-03-2001,29.5,1.5,4,38,29,0.04,0
27-03-2001,32.1,4.6,5.4,56,31,0.16,0
28-03-2001,29.6,9.7,7.7,51,29,0,0
29-03-2001,29.9,10,7.2,46,28,0.02,0
30-03-2001,28.1,7.6,10.8,57,30,0.01,0
31-03-2001,26.2,8.5,9.2,49,26,0,0
01-04-2001,25.7,9.9,8.6,70,31,0,0
02-04-2001,30.9,9.7,11.8,71,36,0,0
03-04-2001,29.9,8.2,10,73,42,0,0
04-04-2001,41,6.1,10.8,57,43,0,0
05-04-2001,40.9,5.8,6.8,71,39,0,0
06-04-2001,36.5,6.6,9,66,40,0.17,0
07-04-2001,25.2,10,11,65,37,0,0
08-04-2001,28.3,9.4,5.5,64,33,0,0
09-04-2001,26.7,9.7,13.5,65,32,0,0
10-04-2001,30.8,9.3,11.4,41,32,0.33,0
11-04-2001,30.8,3.7,24,41,32,0.34,0
12-04-2001,27.7,9.9,5.9,47,30,0,0
13-04-2001,25.3,9.9,9.6,54,34,0,0
14-04-2001,27.5,10,8.7,59,32,0,0
15-04-2001,25.7,9.9,10.3,59,29,0,0
16-04-2001,27.3,10,7.2,42,28,0,0
17-04-2001,30.3,9.8,7.3,64,28,0,0
18-04-2001,29.3,9.9,9.6,79,39,0,0
19-04-2001,23.2,9.9,13.5,77,51,0,0
20-04-2001,22.5,9.9,10.4,62,35,0.11,0
21-04-2001,34.4,9.8,12.2,55,34,0.15,0
22-04-2001,32.9,3,16.3,34,27,0.1,0
23-04-2001,27.6,8.9,4.7,56,23,0,0
24-04-2001,29.8,9.9,7.5,62,35,0,0
25-04-2001,34.1,9.9,8,70,38,0,0
26-04-2001,33.4,9.9,7.6,75,45,0,0
27-04-2001,35.5,9.9,9,78,44,0,0
28-04-2001,37.8,9.9,9.4,78,43,0,0
29-04-2001,34.7,9.9,8.9,79,46,0,0
30-04-2001,33.3,10,9.3,74,47,0,0
01-05-2001,27.9,9.9,10.4,84,49,0,0
02-05-2001,34.1,6.2,11.8,49,32,0.22,0
03-05-2001,32.5,1.5,6.4,36,32,0.21,0
04-05-2001,34.8,2.4,8.9,40,32,0.82,0
05-05-2001,37.7,4.1,14.1,46,38,0.89,0
06-05-2001,38.7,10,9,58,40,0.01,0
07-05-2001,37.9,9.8,6,62,37,0,0
08-05-2001,36.7,9.9,10.1,74,47,0,0
09-05-2001,34,10,11.2,80,49,0,0
10-05-2001,37.2,9.9,9.7,78,53,0.02,0
11-05-2001,44.2,7.8,8.4,71,46,0,0
12-05-2001,41.7,10,8.8,81,51,0,0
13-05-2001,37.9,9.9,7,85,50,0,0
14-05-2001,39.6,10,9,81,52,0.1,0
15-05-2001,43.8,9.9,9.8,84,54,0,0
16-05-2001,40.8,9.9,9.1,78,60,0,0
17-05-2001,48.3,9.5,9,65,47,0.14,0
18-05-2001,44.1,6.6,6.4,75,43,0.02,0
19-05-2001,47.1,10,7,63,50,0.02,0
20-05-2001,43.5,9.7,10.7,72,31,0.05,0
21-05-2001,25.1,8.3,12.5,56,31,0,0
22-05-2001,27.3,9.9,9.3,73,37,0,0
23-05-2001,33.4,9.9,10.4,79,43,0,0
24-05-2001,31.4,9.9,10.7,74,41,0,0
25-05-2001,33.8,10,7.4,71,39,0,0
26-05-2001,39.2,9.9,6.8,76,47,0,0
27-05-2001,47.2,10,10,79,52,0.1,0
28-05-2001,47.7,10,9.5,80,47,1.2,0
29-05-2001,50.1,9.2,9.8,74,52,0,0
30-05-2001,48.7,9.8,8,64,49,0,0
31-05-2001,47.9,10,7.3,72,45,0,0
01-06-2001,45.1,10,7.2,79,50,0,0
02-06-2001,44.5,9.9,8.1,89,50,0,0
