,DATE,TEMP,DEWP,VISIB,WDSP,MAXTEMP,MINTEMP,PREC,SNF
143,2000-05-23,70.4,37.2,9.9,7.5,88,53,0,0
144,2000-05-24,65.7,45.2,9.9,7.7,71,52,0.14,0
145,2000-05-25,58.2,50.3,9.9,7.3,72,49,0.12,T
146,2000-05-26,60.8,44.3,9.8,5.3,77,51,0.03,0
147,2000-05-27,60.8,35.4,9.9,10.0,76,45,0,0
148,2000-05-28,67.5,34.9,9.9,8.7,90,47,0,0
149,2000-05-29,74.0,36.9,9.9,10.8,93,55,0,0
150,2000-05-30,75.7,30.8,9.9,10.4,94,53,0,0
151,2000-05-31,63.2,50.9,8.4,8.6,85,51,0,0
152,2000-06-01,64.2,37.9,9.9,11.4,72,51,0,0
153,2000-06-02,59.4,41.8,9.9,10.6,69,51,0,0
154,2000-06-03,63.5,44.6,9.9,7.1,83,47,T,0
155,2000-06-04,64.0,40.9,9.9,10.6,72,53,0,0
156,2000-06-05,59.6,42.1,10.0,8.8,76,49,0,0
157,2000-06-06,67.8,39.9,9.9,8.1,88,47,0.02,0
158,2000-06-07,73.5,32.1,9.9,6.8,90,57,0,0
159,2000-06-08,73.6,32.6,9.9,9.6,90,54,0,0
160,2000-06-09,71.9,36.6,9.9,12.0,84,54,0,0
161,2000-06-10,68.3,31.1,9.9,12.7,79,53,T,0
162,2000-06-11,65.7,41.3,9.8,6.8,78,51,0.07,0
163,2000-06-12,68.4,36.2,9.9,9.1,89,46,0,0
164,2000-06-13,70.0,32.7,9.9,8.3,76,52,T,0
165,2000-06-14,58.6,37.7,9.9,10.8,75,41,0,0
166,2000-06-15,70.9,33.2,9.9,8.9,93,47,T,0
167,2000-06-16,54.7,36.4,9.9,11.7,61,42,0.02,0
168,2000-06-17,46.5,40.4,7.7,6.0,55,42,0.13,0
169,2000-06-18,55.4,43.2,9.9,6.3,77,39,0.02,0
170,2000-06-19,67.8,41.5,9.9,9.8,84,50,0.02,0
171,2000-06-20,67.7,39.6,9.9,8.3,83,51,0,0
172,2000-06-21,64.1,39.3,9.9,8.7,78,46,0,0
173,2000-06-22,69.9,42.7,9.9,9.0,90,52,0,0
174,2000-06-23,72.7,38.5,9.9,10.1,86,59,0,0
175,2000-06-24,71.7,37.8,9.9,7.3,86,58,T,0
176,2000-06-25,69.8,44.6,9.9,9.1,86,54,0.2,0
177,2000-06-26,55.0,51.8,6.3,9.3,59,49,1.15,0
178,2000-06-27,54.2,52.1,6.1,5.9,67,50,0.09,0
179,2000-06-28,57.9,51.9,9.8,7.3,66,50,T,0
180,2000-06-29,62.6,51.7,8.8,7.5,78,52,0.01,0
181,2000-06-30,68.1,46.1,9.9,9.0,83,53,0,0
182,2000-07-01,70.1,45.0,9.9,8.2,86,52,T,0
183,2000-07-02,74.7,45.1,9.9,7.5,87,59,0.5,0
